Sheet,SensorID,Date,SoilMoisture_pct,Evelation,latitude,Location,longitude,PlotType,Precision_m,descrip,plot,_generic_id,geometry,WKT
Plot 15 sensors,_CA11,25-12-02,17.07517244274155,929.0,-25.1682033,Sensor 3_ ca11,29.4176167,Butternut_plot15,3.6,Sensor 3 butternut field ,,1,POINT (29.4176167 -25.1682033),POINT (29.417617 -25.168203)
Plot 15 sensors,_CA11,25-11-29,16.67312533715412,929.0,-25.1682033,Sensor 3_ ca11,29.4176167,Butternut_plot15,3.6,Sensor 3 butternut field ,,2,POINT (29.4176167 -25.1682033),POINT (29.417617 -25.168203)
Plot 15 sensors,_CA11,25-10-24,33.87686019882311,929.0,-25.1682033,Sensor 3_ ca11,29.4176167,Butternut_plot15,3.6,Sensor 3 butternut field ,,3,POINT (29.4176167 -25.1682033),POINT (29.417617 -25.168203)
Plot 15 sensors,_CA11,25-10-21,33.48621006286788,929.0,-25.1682033,Sensor 3_ ca11,29.4176167,Butternut_plot15,3.6,Sensor 3 butternut field ,,4,POINT (29.4176167 -25.1682033),POINT (29.417617 -25.168203)
Plot 15 sensors,_CA11,25-10-17,10.04410853737542,929.0,-25.1682033,Sensor 3_ ca11,29.4176167,Butternut_plot15,3.6,Sensor 3 butternut field ,,5,POINT (29.4176167 -25.1682033),POINT (29.417617 -25.168203)
Plot 15 sensors,_CCE7,25-12-02,15.28701536689305,920.5,-25.1682185,Sensor 13_cce7,29.4179765,Butternut_plot15,3.666,Sensor 13 butternut field,,6,POINT (29.4179765 -25.1682185),POINT (29.417976 -25.168218)
Plot 15 sensors,_CCE7,25-11-29,14.96883540481513,920.5,-25.1682185,Sensor 13_cce7,29.4179765,Butternut_plot15,3.666,Sensor 13 butternut field,,7,POINT (29.4179765 -25.1682185),POINT (29.417976 -25.168218)
Plot 15 sensors,_CCE7,25-11-28,14.99051472000818,920.5,-25.1682185,Sensor 13_cce7,29.4179765,Butternut_plot15,3.666,Sensor 13 butternut field,,8,POINT (29.4179765 -25.1682185),POINT (29.417976 -25.168218)
Plot 15 sensors,_CCE7,25-10-17,10.66681810128472,920.5,-25.1682185,Sensor 13_cce7,29.4179765,Butternut_plot15,3.666,Sensor 13 butternut field,,9,POINT (29.4179765 -25.1682185),POINT (29.417976 -25.168218)
Plot 15 sensors,_24A9,25-11-29,17.00529836934931,915.6,-25.1682219,Sensor 7_24a9,29.4178916,Butternut_plot15,4.7,Sensor  7 butternut field ,,10,POINT (29.4178916 -25.1682219),POINT (29.417892 -25.168222)
Plot 15 sensors,_24A9,25-10-27,20.11768847226289,915.6,-25.1682219,Sensor 7_24a9,29.4178916,Butternut_plot15,4.7,Sensor  7 butternut field ,,11,POINT (29.4178916 -25.1682219),POINT (29.417892 -25.168222)
Plot 15 sensors,_24A9,25-10-24,19.09688276390559,915.6,-25.1682219,Sensor 7_24a9,29.4178916,Butternut_plot15,4.7,Sensor  7 butternut field ,,12,POINT (29.4178916 -25.1682219),POINT (29.417892 -25.168222)
Plot 15 sensors,_24A9,25-10-22,32.91031120324577,915.6,-25.1682219,Sensor 7_24a9,29.4178916,Butternut_plot15,4.7,Sensor  7 butternut field ,,13,POINT (29.4178916 -25.1682219),POINT (29.417892 -25.168222)
Plot 15 sensors,_24A9,25-10-21,31.98095446596793,915.6,-25.1682219,Sensor 7_24a9,29.4178916,Butternut_plot15,4.7,Sensor  7 butternut field ,,14,POINT (29.4178916 -25.1682219),POINT (29.417892 -25.168222)
Plot 15 sensors,_24A9,25-10-17,11.17117004604514,915.6,-25.1682219,Sensor 7_24a9,29.4178916,Butternut_plot15,4.7,Sensor  7 butternut field ,,15,POINT (29.4178916 -25.1682219),POINT (29.417892 -25.168222)
Plot 15 sensors,_23A9,25-12-02,16.57872229856448,921.2,-25.1683351,Sensor 17_23a9,29.4182517,Butternut_plot15,4.1,Sensor 17 butternut field ,,16,POINT (29.4182517 -25.1683351),POINT (29.418252 -25.168335)
Plot 15 sensors,_23A9,25-11-29,16.30879438919045,921.2,-25.1683351,Sensor 17_23a9,29.4182517,Butternut_plot15,4.1,Sensor 17 butternut field ,,17,POINT (29.4182517 -25.1683351),POINT (29.418252 -25.168335)
Plot 15 sensors,_23A9,25-10-27,16.51705142943236,921.2,-25.1683351,Sensor 17_23a9,29.4182517,Butternut_plot15,4.1,Sensor 17 butternut field ,,18,POINT (29.4182517 -25.1683351),POINT (29.418252 -25.168335)
