SeriesId,UnitsId,Name,TopologyId,Key,DatasetId,DatasetName
1095,4,Effective Precipitation,416,lvl1:Kenya_lvl2:Subbasins_lvl3:1051131830,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1096,4,Effective Precipitation,419,lvl1:Kenya_lvl2:Subbasins_lvl3:1051137860,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1097,4,Effective Precipitation,420,lvl1:Kenya_lvl2:Subbasins_lvl3:1051137960,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1098,4,Effective Precipitation,421,lvl1:Kenya_lvl2:Subbasins_lvl3:1051118600,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1099,4,Effective Precipitation,422,lvl1:Kenya_lvl2:Subbasins_lvl3:1051118440,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1100,4,Effective Precipitation,423,lvl1:Kenya_lvl2:Subbasins_lvl3:1051038740,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1101,4,Effective Precipitation,424,lvl1:Kenya_lvl2:Subbasins_lvl3:1050008110,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1102,4,Effective Precipitation,425,lvl1:Kenya_lvl2:Subbasins_lvl3:1050008470,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1103,4,Effective Precipitation,426,lvl1:Kenya_lvl2:Subbasins_lvl3:1050008480,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1104,4,Effective Precipitation,427,lvl1:Kenya_lvl2:Subbasins_lvl3:1050008570,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1105,4,Effective Precipitation,428,lvl1:Kenya_lvl2:Subbasins_lvl3:1050008580,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1106,4,Effective Precipitation,429,lvl1:Kenya_lvl2:Subbasins_lvl3:1050009010,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1107,4,Effective Precipitation,430,lvl1:Kenya_lvl2:Subbasins_lvl3:1051108020,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1108,4,Effective Precipitation,431,lvl1:Kenya_lvl2:Subbasins_lvl3:1051108160,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1109,4,Effective Precipitation,432,lvl1:Kenya_lvl2:Subbasins_lvl3:1059000020,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1110,4,Effective Precipitation,433,lvl1:Kenya_lvl2:Subbasins_lvl3:1051159540,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1111,4,Effective Precipitation,434,lvl1:Kenya_lvl2:Subbasins_lvl3:1059000220,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1112,4,Effective Precipitation,436,lvl1:Kenya_lvl2:Subbasins_lvl3:1051059910,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1113,4,Effective Precipitation,437,lvl1:Kenya_lvl2:Subbasins_lvl3:1051060130,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1114,4,Effective Precipitation,439,lvl1:Kenya_lvl2:Subbasins_lvl3:1050040550,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1115,4,Effective Precipitation,440,lvl1:Kenya_lvl2:Subbasins_lvl3:1050040660,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1116,4,Effective Precipitation,441,lvl1:Kenya_lvl2:Subbasins_lvl3:1050040920,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1117,4,Effective Precipitation,443,lvl1:Kenya_lvl2:Subbasins_lvl3:1050041020,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1118,4,Effective Precipitation,444,lvl1:Kenya_lvl2:Subbasins_lvl3:1050041270,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1119,5,Total Utilizable Water,416,lvl1:Kenya_lvl2:Subbasins_lvl3:1051131830,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1120,5,Total Utilizable Water,419,lvl1:Kenya_lvl2:Subbasins_lvl3:1051137860,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1121,5,Total Utilizable Water,420,lvl1:Kenya_lvl2:Subbasins_lvl3:1051137960,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1122,5,Total Utilizable Water,421,lvl1:Kenya_lvl2:Subbasins_lvl3:1051118600,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1123,5,Total Utilizable Water,422,lvl1:Kenya_lvl2:Subbasins_lvl3:1051118440,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1124,5,Total Utilizable Water,423,lvl1:Kenya_lvl2:Subbasins_lvl3:1051038740,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1125,5,Total Utilizable Water,424,lvl1:Kenya_lvl2:Subbasins_lvl3:1050008110,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1126,5,Total Utilizable Water,425,lvl1:Kenya_lvl2:Subbasins_lvl3:1050008470,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1127,5,Total Utilizable Water,426,lvl1:Kenya_lvl2:Subbasins_lvl3:1050008480,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1128,5,Total Utilizable Water,427,lvl1:Kenya_lvl2:Subbasins_lvl3:1050008570,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1129,5,Total Utilizable Water,428,lvl1:Kenya_lvl2:Subbasins_lvl3:1050008580,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1130,5,Total Utilizable Water,429,lvl1:Kenya_lvl2:Subbasins_lvl3:1050009010,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1131,5,Total Utilizable Water,430,lvl1:Kenya_lvl2:Subbasins_lvl3:1051108020,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1132,5,Total Utilizable Water,431,lvl1:Kenya_lvl2:Subbasins_lvl3:1051108160,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1133,5,Total Utilizable Water,432,lvl1:Kenya_lvl2:Subbasins_lvl3:1059000020,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1134,5,Total Utilizable Water,433,lvl1:Kenya_lvl2:Subbasins_lvl3:1051159540,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1135,5,Total Utilizable Water,434,lvl1:Kenya_lvl2:Subbasins_lvl3:1059000220,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1136,5,Total Utilizable Water,436,lvl1:Kenya_lvl2:Subbasins_lvl3:1051059910,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1137,5,Total Utilizable Water,437,lvl1:Kenya_lvl2:Subbasins_lvl3:1051060130,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1138,5,Total Utilizable Water,439,lvl1:Kenya_lvl2:Subbasins_lvl3:1050040550,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1139,5,Total Utilizable Water,440,lvl1:Kenya_lvl2:Subbasins_lvl3:1050040660,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1140,5,Total Utilizable Water,441,lvl1:Kenya_lvl2:Subbasins_lvl3:1050040920,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1141,5,Total Utilizable Water,443,lvl1:Kenya_lvl2:Subbasins_lvl3:1050041020,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1142,5,Total Utilizable Water,444,lvl1:Kenya_lvl2:Subbasins_lvl3:1050041270,0d9beb08-3104-4fd6-8ae4-1f1c9a4313cf,Subbasins - Kenya
1143,2,Pump Status,810,lvl1:Kenya_lvl2:Pumps_lvl3:PK006,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
1144,2,Pump Status,811,lvl1:Kenya_lvl2:Pumps_lvl3:PK008,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
1145,2,Pump Status,812,lvl1:Kenya_lvl2:Pumps_lvl3:PK013,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
1146,2,Pump Status,813,lvl1:Kenya_lvl2:Pumps_lvl3:PK016,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
1147,2,Pump Status,814,lvl1:Kenya_lvl2:Pumps_lvl3:PK017,ec22bc88-44d6-4a30-b409-169fad141d6e,Future pump - Kenya
