MonitoringStation,Group,MonitoringLocation,Parameter,Unit,UnitId,Date,Value,SourceColumn,DatasetName,DatasetID,Sheet,SensorID,SoilMoisture_pct,Evelation,latitude,Location,longitude,PlotType,Precision_m,descrip,plot,_generic_id,Coords,Description
1,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-12-02,17.07517244274155,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_CA11,17.07517244274155,929.0,-25.1682033,Sensor 3_ ca11,29.4176167,Butternut_plot15,3.6,Sensor 3 butternut field ,,1,"{""type"":""Point"",""coordinates"":[29.4176167,-25.1682033]}",
2,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-11-29,16.67312533715412,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_CA11,16.67312533715412,929.0,-25.1682033,Sensor 3_ ca11,29.4176167,Butternut_plot15,3.6,Sensor 3 butternut field ,,2,"{""type"":""Point"",""coordinates"":[29.4176167,-25.1682033]}",
3,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-24,33.87686019882311,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_CA11,33.87686019882311,929.0,-25.1682033,Sensor 3_ ca11,29.4176167,Butternut_plot15,3.6,Sensor 3 butternut field ,,3,"{""type"":""Point"",""coordinates"":[29.4176167,-25.1682033]}",
4,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-21,33.48621006286788,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_CA11,33.48621006286788,929.0,-25.1682033,Sensor 3_ ca11,29.4176167,Butternut_plot15,3.6,Sensor 3 butternut field ,,4,"{""type"":""Point"",""coordinates"":[29.4176167,-25.1682033]}",
5,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-17,10.04410853737542,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_CA11,10.04410853737542,929.0,-25.1682033,Sensor 3_ ca11,29.4176167,Butternut_plot15,3.6,Sensor 3 butternut field ,,5,"{""type"":""Point"",""coordinates"":[29.4176167,-25.1682033]}",
6,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-12-02,15.28701536689305,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_CCE7,15.28701536689305,920.5,-25.1682185,Sensor 13_cce7,29.4179765,Butternut_plot15,3.666,Sensor 13 butternut field,,6,"{""type"":""Point"",""coordinates"":[29.4179765,-25.1682185]}",
7,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-11-29,14.96883540481513,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_CCE7,14.96883540481513,920.5,-25.1682185,Sensor 13_cce7,29.4179765,Butternut_plot15,3.666,Sensor 13 butternut field,,7,"{""type"":""Point"",""coordinates"":[29.4179765,-25.1682185]}",
8,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-11-28,14.99051472000818,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_CCE7,14.99051472000818,920.5,-25.1682185,Sensor 13_cce7,29.4179765,Butternut_plot15,3.666,Sensor 13 butternut field,,8,"{""type"":""Point"",""coordinates"":[29.4179765,-25.1682185]}",
9,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-17,10.66681810128472,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_CCE7,10.66681810128472,920.5,-25.1682185,Sensor 13_cce7,29.4179765,Butternut_plot15,3.666,Sensor 13 butternut field,,9,"{""type"":""Point"",""coordinates"":[29.4179765,-25.1682185]}",
10,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-11-29,17.00529836934931,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_24A9,17.00529836934931,915.6,-25.1682219,Sensor 7_24a9,29.4178916,Butternut_plot15,4.7,Sensor  7 butternut field ,,10,"{""type"":""Point"",""coordinates"":[29.4178916,-25.1682219]}",
